200,
200,
8997,11001,1380,15483,3090,-5290,-15947,16131,14279,-9899,15216,-2590,13878,-4193,4869,5690,1806,1366,15443,-8854,8268,7890,-16285,-7427,4480,16095,-7436,121,-14120,13202,-103,-462,892,5192,-11838,-9537,8268,-11694,-13185,-2237,13851,-350,883,15509,-11585,-10731,-10182,1990,6032,13925,-2563,2120,2617,2971,11337,-14303,-11520,3548,-11845,-13613,-15539,13763,1437,-6822,-4912,3929,-8918,-5310,5135,9829,10573,-7805,-9711,-11170,-12869,2176,404,-2177,1842,-9765,10144,-10596,-6573,7830,1458,-11790,14939,2646,-3478,705,8932,9013,-5552,-4347,10226,-2951,10618,-11120,10823,809,-4992,9326,2012,-9628,15115,5466,4172,-15366,10096,5986,2016,-10294,-1810,-15301,-10545,123,1124,3878,-3550,-9447,-15965,12568,1622,-10221,1627,7829,-14564,-1690,-7569,12203,-6767,-7691,6791,-3908,15299,-4477,13215,-3555,-13271,-6468,12062,-15243,15107,11407,-14679,-6415,14500,-8901,13125,14467,-4004,-5432,-11569,-8107,-6522,11529,9654,14530,-14878,-5888,-2884,-12889,1668,12938,-659,-15730,-14997,12857,2283,-6685,-6633,12929,1511,-14020,-2465,-15906,15471,1608,-10377,11848,-4107,14149,-10449,11665,-13301,-11393,8347,7894,-12506,15217,-2581,-8452,-7673,12693,760,11563,-12258,14919,-3728,-12695
4362,-1546,-5533,-4916,2498,1785,5040,-13119,-1244,-3174,-13675,-11691,6459,14452,7799,-7359,6554,12490,6610,-2177,5735,5982,-3698,2239,4605,-13058,2873,14708,-6005,-4931,-10210,-9070,-10990,346,8888,-11243,571,-8093,-6332,6296,-2215,-4557,10982,14736,5979,14128,9974,11430,5425,6616,5167,-5750,-13990,3350,6410,15471,-4379,-6484,-9,7494,14675,-4589,1716,-5950,-6605,-2805,46,10608,-8276,-6530,-12231,12620,-8722,9874,4296,4163,-5645,16072,11923,4486,13750,14782,-11550,-6003,-9339,-2417,3059,-1700,-12836,3009,4352,-1605,13938,-8016,5009,3648,-174,-15514,-14480,-12844,5143,-12583,-8128,-615,10023,-12948,12962,-5791,10289,4634,-16333,4874,-16155,-4495,-1047,-3923,15949,-1210,5561,-2996,-3832,13481,6031,2938,-5147,-2206,-16115,11213,4405,5641,2752,1647,12939,11651,-8900,-4437,-831,16232,16181,2630,-2046,10206,-11953,5735,1923,9885,-12645,72,-14419,1919,-1055,-7124,-528,5680,-5615,-5849,-10330,11721,16183,-2282,1506,4560,12385,7250,-15411,3267,6036,15093,5359,-15722,-3392,-2797,2237,-1236,-9207,15140,4265,7927,-7767,5521,10451,8848,-2301,13664,1359,509,-1430,6917,11722,2090,-3058,16133,13687,2834,15928,15066,2129,-13554,-13062,-2119
-699,9368,-14436,9991,10468,-5550,2197,-12842,-3467,11275,580,11961,14643,11182,-1594,6577,11670,9094,450,-11417,-12726,-15694,20,3565,2869,4080,-15054,12468,-11653,-9367,6384,9078,-2692,3166,-16090,-4767,-4658,-12289,12972,11252,6699,15247,-3085,6569,-3438,-12886,7356,-12527,-8076,-14225,-15652,-15031,14972,7836,-888,-15434,-14217,-13875,308,-11890,3204,4023,6705,-9427,14252,16126,3948,-12748,7558,-15233,-5697,-8584,-5056,8740,14444,-888,9329,-8336,3671,-9694,-5224,-16196,-10744,3976,5056,-2265,-4643,1895,-4632,3172,-7089,-7723,15767,-14598,10833,891,-14231,11838,14047,15312,14774,9363,-2830,8049,3848,6261,5782,-12823,-4912,9874,1208,9192,-13630,-3793,10275,-11491,-1461,7899,7848,5886,-1098,-12003,14406,-10967,-4039,-924,-5797,8426,-9257,-3015,6693,-10449,4159,4611,-4503,-4632,-6301,-7282,-9709,-1793,4350,-713,6523,9930,4982,-4158,-3259,6884,13954,-5902,12217,-253,-2201,-6374,7685,-9901,12105,-11375,15838,8518,15706,-14270,15278,6191,7367,8485,-2354,12154,-12448,3293,-6537,-3132,9932,647,11860,917,-251,-433,15507,-13734,9061,73,349,-6762,8385,-12809,-2686,5146,-1969,-2455,-11548,-13671,-5096,1361,537,285,645,-15185,11079,13351
-14488,-11872,-16028,446,-9652,1003,14248,-10392,-12805,1291,-4289,115,16329,3434,-2063,-14369,-1927,3707,5441,-10820,-5399,-12984,11108,6704,1781,5322,15307,-1119,-10803,-12355,-13990,-2303,-9563,-11010,-5193,456,15807,7347,7632,4236,-12555,9244,9940,-1793,-2347,-4295,-14219,-11310,-2109,-7217,8237,11757,-6872,5972,-11975,-10956,14057,-10050,4955,-1259,8060,-3127,632,-55,-9934,12688,11728,-3406,-9102,7719,-2032,-12329,-1011,9660,12477,4089,-6246,11523,371,-5174,-7969,12309,-2185,2221,-1948,-8268,7569,2980,4400,11645,10441,4546,-12259,3249,4183,1205,-7393,-2426,5689,-4995,-6846,-13967,-6982,-6621,-11072,-2398,-1314,-4085,12133,-10437,-13077,6523,-13596,8119,-4375,-6006,336,-5273,3921,-1908,3852,-15531,-10278,-2526,11962,6881,6434,-7880,-6582,-3567,10843,6329,-9388,-7658,-11565,1922,-15015,7066,480,-5154,2922,-14302,2611,-919,8107,-10961,-15292,9508,8167,-2733,-7820,-12021,2485,6536,5840,7603,6267,2339,-15868,-998,-7387,-2995,-8165,1910,6258,9798,285,-10179,-9137,-16244,5286,1673,895,-3317,5588,-11730,14666,-1225,-10615,1798,-4773,13562,-1722,9708,6142,3692,11508,3626,16294,7500,-8629,-10837,-15701,-7312,8092,-1000,360,-14554,-4156,10381
9444,-7702,4841,-2224,-5025,4148,5395,-9433,-9034,-3101,7850,-905,14059,-3382,3654,-11180,8281,3964,991,6229,-7834,-5459,-3651,5276,-2097,8839,6395,-13771,-14517,-1670,5044,3265,11167,13841,3657,-14831,-7605,-102,11542,-7047,693,7104,13509,-4718,-12667,-15088,2599,-11194,6146,-5582,-11885,-5615,-72,-5357,-3972,-16208,-13831,-15088,-2844,5356,-8802,11683,8224,2517,-12551,-1000,-4900,14835,-3381,15902,5461,16382,2934,-7870,10120,-13984,6176,-10635,3909,-16360,-9773,4794,-8008,9222,-2446,-2810,-11661,-2255,-1376,4355,10861,6290,5823,10545,4241,7698,9929,12967,-13520,7361,3143,-2258,15727,5548,7258,14593,-5807,4187,12364,6627,-8441,5399,4982,9419,-11712,-9456,-5817,1645,9539,-13720,-9509,14303,-6188,-10442,-6830,-6906,-7686,-14013,11051,-3799,522,-13209,-2631,12580,11873,12562,-4634,716,-2067,-12527,13988,14473,2208,13176,-5965,10506,13917,2407,3039,11943,13097,7753,8722,4982,-5803,2806,63,6070,3868,-8203,6588,514,4746,3296,7629,-16270,-4014,3989,-15221,-12821,-3941,4904,-1250,12274,12330,-9277,13408,-8725,-5506,-14121,191,-14460,3457,-4213,-8342,-1201,-1724,-8854,7185,-3662,11054,11550,-6769,1490,4939,-5346,-13774,4243,-4879,327
-10108,6389,-2500,10314,-11153,4633,-6005,-9050,-6655,14251,12044,5585,4255,-681,13549,7040,-5414,-57,-14836,2116,109,-9979,-12837,-7910,-11521,-14968,15686,4086,-15480,3038,-929,4046,4544,7867,-1112,-12961,-7366,-8349,8544,2540,-12128,4427,12191,-5207,-7217,9510,10235,-12612,-2572,9539,-13793,-1361,-13836,5851,-7303,-1629,9419,-2252,-12639,2634,-5932,-1853,3600,-81,1325,11088,-7750,-11495,-604,-8087,-6579,10588,13284,1052,-14673,-13454,-2402,-8193,-10432,-4881,3355,-11507,-2864,-11670,-3391,-12463,-15782,-2880,-7946,8711,-4932,6853,-12710,-3083,6350,-10775,1122,3251,14270,1752,15354,1055,-5206,-10509,11424,7203,11518,-11518,-5884,-3363,-4925,16313,-5144,10064,-11521,-8963,14287,-12343,-5884,-5322,-3244,-10709,-7995,-1133,-6546,10014,-2963,-6594,-7644,-3876,-14421,3209,-12285,-15776,-3580,-9034,3127,-16279,3015,9465,-12570,10367,2958,-6439,5076,3688,5064,8786,-135,14343,13873,5751,15118,4519,14595,-8065,5847,-8438,-6277,1987,-8547,1640,-5806,-14359,1515,-7687,6752,3463,1434,8928,808,6287,-13048,4451,-1541,11851,11718,6943,-7289,12549,10821,1276,8802,-15484,-9787,2435,-3445,-7987,2609,3633,-2170,-1785,367,3526,15851,-3941,11460,-8998,13915,-7638
-2906,3302,14069,277,-7154,14081,-6903,-490,-16368,-13716,-9501,-8754,-11017,767,-2970,5215,12498,4516,7647,-7874,3061,-15930,6944,9482,1099,-12155,-14843,-15841,-2440,2947,2450,4087,4220,14123,10016,8214,-9190,914,-6804,-1461,9412,1618,-8525,2784,-3445,-4558,4406,-5871,15139,-11738,4994,7709,-1914,3623,-71,9787,-13769,8732,8000,1416,3606,9475,-8863,-5007,-10795,819,-9438,-1112,14330,-15641,9251,-4264,-7614,10438,13213,-4643,3530,-14956,-5363,4486,-10217,-14256,-16024,-7470,7244,5492,-14074,7454,-8908,-6436,-4656,15472,11844,-12467,2661,-15770,7791,-7203,869,11916,14131,-3024,15368,-3145,-3735,3590,3562,-11610,-2693,12192,8739,-2090,-4481,5413,991,4620,-12308,-2581,-7330,3674,13272,5205,-10591,11580,7486,7881,-4750,14877,15399,1886,9906,14002,15636,-5554,1667,-3427,-3410,-14211,-7073,-4879,6200,-11672,1496,3094,-12486,12684,12091,15107,8287,12938,-4408,-1191,-12618,-7798,4710,16008,6339,3534,14740,3303,-11193,-9015,2708,-8418,9439,8636,11642,-2782,-10552,12774,-12482,-7132,-7467,-619,1412,-4149,-7786,2049,-15753,-7025,-7408,2174,-12683,-9373,10270,4624,15138,11016,4192,-4264,16009,-10453,-15812,12930,-12188,15041,7384,-5862,-708,13640
-5672,12589,-104,10687,4214,3885,-15883,11971,-14582,-10228,-1827,-3731,-1895,-93,6158,14179,4862,-8200,-3160,-5723,6933,-9216,-411,5311,-7646,5954,-10204,76,16339,9308,-1239,222,-7986,-14635,7363,15714,16274,-1807,-2421,4633,7861,-5227,-12417,6190,-14441,2447,-7039,-15873,9531,4098,13389,10554,411,11273,-12436,1810,-514,-267,-14771,-11923,-15472,7815,-3090,-4471,12099,-11942,-13489,-509,-11950,9133,-2877,1016,-5516,14297,-5200,14139,-16162,6542,5904,-6986,15003,4146,14638,15983,-15176,376,14265,13379,-2218,9129,-3487,13437,-5238,601,-2716,-5857,-12510,12297,435,-295,14796,-9909,12181,-14900,-14694,4866,-14000,-4292,7125,4199,-11187,-2235,7127,1517,466,-7532,-7939,-11968,6919,-6249,-7472,9588,-9560,11650,3397,-256,-15224,6791,-3872,-3861,-11531,-12638,15694,8168,12742,13408,-11917,10422,1259,8858,4567,9260,6979,-14465,13186,-1457,-15977,159,6575,-1667,-6272,-14558,-3054,10355,-9981,15095,-4181,4540,-15055,-4008,4283,-12917,-10625,5854,3404,-7789,-15595,4464,14662,-2704,343,-6367,5038,-4063,-5026,-3951,10906,14800,386,-11509,-8932,11483,-14413,12963,14567,1530,-13006,2173,9096,-2453,11748,-12877,-6961,9115,4096,15734,-13118,9383,9926,-5086
8850,-1955,7664,-13805,7007,-15536,10355,-203,15413,1805,-9420,4046,-8994,-3722,-13647,9784,4057,-7681,-1192,-15579,9496,14283,-5525,-2344,14516,12019,9388,-4564,-12121,-2141,-13090,-12317,5345,6362,1837,-2311,-15664,15362,5098,10291,-4034,-3384,-2802,-12721,6446,-4045,-1798,15642,-15659,-4283,-3284,-14547,6906,4349,6563,-1694,-4351,-1541,6927,-9812,-5437,7746,-9200,3110,-8675,12688,11704,-11042,14776,-13726,12801,8537,-13304,5255,6756,6499,4709,1505,-8797,-12226,-7049,3720,-15846,11529,9270,-15356,13265,8090,9188,-15546,-6055,56,16110,-15839,-13242,-14269,5958,13954,-9561,-9070,-7499,12170,-6053,11267,-15981,213,4294,7202,-5381,-1116,5961,7404,14804,-257,-960,3216,5892,-593,-5633,-12641,-831,-7680,-7972,-11690,1439,-5580,-8721,-9185,-12612,-7696,14064,3143,1511,-1511,-6163,-2628,-13403,9957,-11908,321,5902,-6774,8579,1747,-11565,-5962,-14942,-3748,9011,14639,13368,7335,2059,-10379,1606,9097,-13226,3000,11937,9571,-11187,-6013,13199,15358,5914,1416,1671,-13976,5772,13587,-4056,-15073,-10936,-13958,-6969,12956,-257,-5423,15472,13200,-2350,6912,-1857,14594,6502,-10534,-2570,16098,-16245,-7609,6539,14291,-16008,3311,5085,-91,-1121,-869,-6974,-3036
11144,12090,-5134,-16337,16030,14587,-7318,1382,-9219,2198,11154,-12388,-5804,-221,10809,656,6943,-1141,-12883,-9797,-6557,-7706,13667,14905,-5921,-383,7024,12826,-14414,-5405,-9563,-13319,2643,9069,13784,-13444,2212,13056,2699,-4607,-15584,-8452,-14906,11929,5737,4126,-2425,-9455,-235,7642,-14675,614,14885,-15693,-5528,-15413,1194,8176,14915,-9551,-1313,13605,-9328,-13729,-5624,-1627,5597,11087,9037,114,6275,14054,-1914,3289,-4353,8394,-4064,4466,12394,-5303,-3046,-15580,-10025,-2916,-2953,-1996,-8727,13516,9744,11709,8749,1511,-6361,5547,-2886,-13118,-12784,-10471,9896,16075,-1978,11461,8586,14570,-13061,-9298,-5925,-13601,-10826,-5903,2198,-1886,6177,-6440,-14702,5944,12560,2859,1706,-8415,14308,15934,15766,16094,-15329,13176,-6787,-12764,-1505,-11760,1343,12495,-13938,-6674,14480,-15512,10330,-5350,-2391,11372,-9174,-15374,16257,10987,-3655,-3821,2359,-15726,-8157,-9049,16138,3897,9888,-12511,-3814,13593,-13178,-10673,-11094,-9871,2011,7650,-9490,11827,3867,-2533,12852,-8687,10207,-4514,14043,12815,14704,-15472,-2838,2918,-15412,-1309,-14744,15128,-5073,-1550,-10990,-11840,3988,10302,-6627,-7046,-8452,-5893,-114,13530,15319,-1147,-13300,9233,-13895,2155,-2256,-4333
